,budget,country,cum_ww_gross,director,genre_1,genre_2,genre_3,language,mpaa_rating,ratings_count,release_date,runtime,title,url,usa_gross,user_rating
5476,25000000,USA,27685016,Guy Ferland,Drama,Music,Romance,English,PG-13,24543,2004-02-27,86.0,Dirty Dancing: Havana Nights,https://www.imdb.com/title/tt0338096,14161590.0,6.0
5477,,Australia,,"Ben Howling, Yolanda Ramke",Drama,Thriller,,English,,20387,2018-05-18,105.0,Cargo,https://www.imdb.com/title/tt3860916,,6.3
5478,19000000,USA,42813762,Andrew Douglas,Drama,Horror,Mystery,English,R,96075,2005-04-15,90.0,The Amityville Horror,https://www.imdb.com/title/tt0384806,65233369.0,6.0
5479,16000000,USA,32155047,Graham Baker,Action,Sci-Fi,,English,R,12828,1988-10-07,91.0,Alien Nation,https://www.imdb.com/title/tt0094631,25216243.0,6.3
5480,,Spain,,Álex de la Iglesia,Crime,Mystery,Thriller,English,R,25287,2010-07-02,104.0,The Oxford Murders,https://www.imdb.com/title/tt0488604,,6.1
5481,27000000,USA,,Stephen Sommers,Adventure,Family,Romance,English,PG,14569,1994-12-25,111.0,The Jungle Book,https://www.imdb.com/title/tt0110213,44342956.0,6.0
5482,60000000,USA,108431355,Ivan Reitman,Comedy,Romance,Sci-Fi,English,PG-13,59251,1994-11-23,109.0,Junior,https://www.imdb.com/title/tt0110216,36763355.0,4.6
5483,20000000,USA,,Paul Feig,Comedy,Crime,Drama,English,R,18546,2018-09-14,117.0,A Simple Favor,https://www.imdb.com/title/tt7040874,45579356.0,7.2
5484,24000000,USA,172363301,Wes Craven,Horror,Mystery,,English,R,139719,1997-12-12,120.0,Scream 2,https://www.imdb.com/title/tt0120082,101363301.0,6.1
5485,1500000,USA,3750080,Alex Cox,Comedy,Crime,Sci-Fi,English,R,29395,1984-03-02,92.0,Repo Man,https://www.imdb.com/title/tt0087995,3569083.0,6.9
5486,2500000,USA,5214043,Eli Roth,Drama,Horror,Thriller,English,R,64456,2015-10-09,99.0,Knock Knock,https://www.imdb.com/title/tt3605418,36336.0,4.9
5487,,USA,,Toby Wilkins,Horror,Sci-Fi,Thriller,English,R,29965,2009-04-03,82.0,Splinter,https://www.imdb.com/title/tt1031280,,6.1
5488,18000000,USA,,Barry Levinson,Adventure,Fantasy,Mystery,English,PG-13,16758,1985-12-04,109.0,Young Sherlock Holmes,https://www.imdb.com/title/tt0090357,19739000.0,6.8
5489,,USA,,Robert Mandel,Action,Crime,Drama,English,R,10522,1996-04-19,114.0,The Substitute,https://www.imdb.com/title/tt0117774,14752141.0,5.9
5490,92000000,USA,252750000,Jan de Bont,Action,Adventure,Drama,English,PG-13,158205,1996-05-10,113.0,Twister,https://www.imdb.com/title/tt0117998,241721524.0,6.3
5491,,UK,,Jake Scott,Drama,,,English,R,21711,2011-11-18,110.0,Welcome to the Rileys,https://www.imdb.com/title/tt1183923,152857.0,7.0
5492,25000000,UK,,Richard Linklater,Comedy,Drama,,English,PG-13,10075,2009-12-18,114.0,Me and Orson Welles,https://www.imdb.com/title/tt1175506,1186957.0,6.8
5493,,USA,,Frank A. Cappello,Drama,Romance,Thriller,English,Not Rated,21153,2007-12-07,95.0,He Was a Quiet Man,https://www.imdb.com/title/tt0760311,,6.8
5494,17000000,USA,72835710,Malcolm D. Lee,Comedy,Drama,,English,R,13538,2013-11-15,123.0,The Best Man Holiday,https://www.imdb.com/title/tt2083355,70525195.0,6.7
5495,4000000,USA,,Neil LaBute,Comedy,Drama,Romance,English,R,10316,2003-05-16,96.0,The Shape of Things,https://www.imdb.com/title/tt0308878,732241.0,6.7
5496,11000000,West Germany,,Milos Forman,Comedy,Drama,Musical,English,PG,31037,1979-05-09,121.0,Hair,https://www.imdb.com/title/tt0079261,15284463.0,7.6
5497,8000000,USA,,Mark L. Lester,Action,Comedy,Crime,English,R,14292,1991-08-23,79.0,Showdown in Little Tokyo,https://www.imdb.com/title/tt0102915,2275557.0,6.1
5498,65000000,USA,128107642,Adam McKay,Comedy,,,English,R,238219,2008-07-25,98.0,Step Brothers,https://www.imdb.com/title/tt0838283,100468793.0,6.9
5499,3000000,USA,12800000,Steven Spielberg,Crime,Drama,,English,PG,13307,1974-05-29,110.0,The Sugarland Express,https://www.imdb.com/title/tt0072226,7500000.0,6.8
5500,65000000,USA,64321501,Jon Favreau,Action,Adventure,Comedy,English,PG,80634,2005-11-11,101.0,Zathura: A Space Adventure,https://www.imdb.com/title/tt0406375,29258869.0,6.2
5501,10000000,USA,,Clint Eastwood,Action,Comedy,Crime,English,R,22724,1990-12-07,120.0,The Rookie,https://www.imdb.com/title/tt0100514,21633874.0,5.9
5502,3000000,USA,,Alfred Hitchcock,Crime,Drama,Mystery,English,PG,39024,1964-11-09,130.0,Marnie,https://www.imdb.com/title/tt0058329,7000000.0,7.2
5503,,UK,,Tom Stoppard,Comedy,Drama,,English,PG,18938,1991-02-08,117.0,Rosencrantz & Guildenstern Are Dead,https://www.imdb.com/title/tt0100519,739104.0,7.5
